Produkt;Case;Box;Pack;Sklep;Waluta;Sezon;Producent;Typ karty;Typ boxa;Team;cena_box_PLN
2025 Topps MLS Chrome ñ Value Box;;149,00;;bigcards;PLN;2025;Topps;Chrome;Value;MLS;149,00
2024/25 Topps Chrome Merlin Soccer Blaster Box;0,00;149,00;0,00;shaks;PLN;2024/2025;Topps;Merlin;Blaster;inne;149,00
 2021/22 Panini Prizm Premier League EPL Soccer BLASTER Box ;0,00;35,90;0,00;taass;EUR;2021/2022;Panini;Prizm;Blaster;EPL;152,57
2026 Topps Chrome Premier League - Value Box;0,00;153,00;0,00;dutchbreakers;PLN;2026;Topps;Chrome;Value;EPL;153,00
2026 Topps Chrome Premier League Soccer Value Box;0,00;153,00;0,00;qscards;PLN;2026;Topps;Chrome;Value;EPL;153,00
2025-26 Topps Soccer Real Madrid Collector Tin;0,00;153,00;0,00;qscards;PLN;2025/2026;Topps;Fan;Tin;Real Madrid;153,00
2025 Topps Chrome MLS Soccer Value Blaster Box;0,00;36,17;0,00;underpaidcollectibles;EUR;2025;Topps;Chrome;Blaster;MLS;153,72
2026 Topps Chrome Premier League EPL Soccer Value Blaster Box;0,00;36,17;0,00;underpaidcollectibles;EUR;2026;Topps;Chrome;Blaster;EPL;153,72
2024/25 Panini La Liga Megacracks Soccer Box;0,00;37,00;2,00;dacardworld;EUR;2024/2025;Panini;Megacracks;Mega;LaLiga;157,25
Topps Chrome MLS 2025 Value Box View now;0,00;157,30;0,00;sportscardsdirect;PLN;2025;Topps;Chrome;Value;MLS;157,30
Topps Chrome Premier League 2026 Chrome Tin View now;0,00;157,30;0,00;sportscardsdirect;PLN;2026;Topps;Chrome;Tin;EPL;157,30
Topps UEFA Club Competitions Flagship 2025-26 Value Box View now;0,00;157,30;0,00;sportscardsdirect;PLN;2025/2026;Topps;Club;Value;UEFA;157,30
Topps 2025/26 Juventus Collector Tin View now;0,00;157,30;0,00;sportscardsdirect;PLN;2025/2026;Topps;Fan;Tin;Juventus;157,30
Topps Manchester City 2025/26 Collectors Tin View now;0,00;157,30;0,00;sportscardsdirect;PLN;2025/2026;Topps;Fan;Tin;Manchester City;157,30
Topps 100% RB Leipzig 23/24 View now;0,00;157,30;0,00;sportscardsdirect;PLN;2023/2024;Topps;Inne;Inne;RB Lipsk;157,30
2025-26 Topps Chrome Bundesliga Value Box;;159,00;;bigcards;PLN;2025/2026;Topps;Chrome;Value;Bundesliga;159,00
2026 Topps Chrome Premier League Value Box;;159,00;;bigcards;PLN;2026;Topps;Chrome;Value;EPL;159,00
2025 Panini Prizm FIFA Club World Cup Soccer Blaster Box;;159,00;;bigcards;PLN;2025;Panini;Club;Blaster;Club World Cup;159,00
2024-25 Topps Bundesliga Chrome Value Box;;159,00;;bigcards;PLN;2024/2025;Topps;Chrome;Value;Bundesliga;159,00
2025 Panini Prizm FIFA Club World Cup Soccer Blaster Box;0,00;37,99;0,00;yocardo;EUR;2025;Panini;Club;Blaster;Club World Cup;161,47
2023-24 PANINI Prizm Premier League Soccer Cards Blaster Box;0,00;37,99;0,00;yocardo;EUR;2023/2024;Panini;Prizm;Blaster;EPL;161,47
2026 Topps Chrome Premier League EPL Soccer 7-Pack Blaster;1 475,00;38,00;0,00;dacardworld;EUR;2026;Topps;Chrome;Blaster;EPL;161,50
2023/24 Topps 100% RB Leipzig Soccer Hobby;0,00;39,00;0,00;dacardworld;EUR;2023/2024;Topps;Inne;Hobby;RB Lipsk;165,75
2024/25 Panini Prizm Premier League Soccer EPL Blaster Box;0,00;39,27;0,00;underpaidcollectibles;EUR;2024/2025;Panini;Prizm;Blaster;EPL;166,90
2024-25 Topps Merlin UCC ñ Value Box;;169,00;;bigcards;PLN;2024/2025;Topps;Merlin;Value;UCC;169,00
 2024/25 Panini Prizm Premier League Soccer EPL Blaster Box ;0,00;39,90;0,00;taass;EUR;2024/2025;Panini;Prizm;Blaster;EPL;169,58
 2023/24 Panini Prizm Copa America Soccer Hobby Pack ;0,00;39,90;0,00;taass;EUR;2023/2024;Panini;Prizm;Hobby;Copa America;169,58
 2022/23 Panini Prizm Premier League Soccer EPL Blaster Box ;0,00;39,90;0,00;taass;EUR;2022/2023;Panini;Prizm;Blaster;EPL;169,58
Topps 2022 Bowman Chrome Road to UEFA U-21 EURO Lite;0,00;39,99;0,00;austriantradingcards;EUR;2022;Topps;Chrome;Inne;UEFA;169,96
2025-26 Topps Bundesliga Chrome Blaster Box;0,00;39,99;0,00;yocardo;EUR;2025/2026;Topps;Chrome;Blaster;Bundesliga;169,97
2025ñ26 Topps Chrome Premier League Blaster Box;0,00;39,99;0,00;yocardo;EUR;2025;Topps;Chrome;Blaster;EPL;169,97
Panini Prizm World Cup Club 2025 Blaster Box;0,00;40,00;0,00;sportcardscenter;EUR;2025;Panini;Club;Blaster;inne;170,00
2025-26 Topps Chrome Bundesliga Soccer Value Box;0,00;171,00;0,00;qscards;PLN;2025/2026;Topps;Chrome;Value;Bundesliga;171,00
2025 Panini Prizm FIFA Club World Cup Soccer Blaster Box;0,00;171,00;0,00;qscards;PLN;2025;Panini;Club;Blaster;Club World Cup;171,00
2025-26 Topps Chrome Bundesliga Value Blaster Box;0,00;41,34;0,00;underpaidcollectibles;EUR;2025/2026;Topps;Chrome;Blaster;Bundesliga;175,70
2024-25 Topps Chrome Bundesliga Value Blaster Box;0,00;41,34;0,00;underpaidcollectibles;EUR;2024/2025;Topps;Chrome;Blaster;Bundesliga;175,70
2024-25 Panini Prizm Premier League hobby blaster box;;179,00;;bigcards;PLN;2024/2025;Panini;Prizm;Blaster;EPL;179,00
2022-23 Panini Donruss Soccer Blaster;;179,00;;bigcards;PLN;2022/2023;Panini;Donruss;Blaster;Donruss;179,00
2024-25 Panini Select Premier League Blaster Box;;179,00;;bigcards;PLN;2024/2025;Panini;Select;Blaster;EPL;179,00
2025 Prizm FIFA Club World Cup Soccer ñ Blaster Box;0,00;42,35;0,00;supercollectors;EUR;2025;Panini;Club;Blaster;Club World Cup;179,99
2024/25 Panini Select La Liga Soccer 6-Pack Blaster;0,00;44,00;0,00;dacardworld;EUR;2024/2025;Panini;Select;Blaster;LaLiga;187,00
2024/25 Panini Club Real Madrid Soccer Hanger;0,00;44,00;0,00;dacardworld;EUR;2024/2025;Panini;Club;Hanger;Real Madrid;187,00
Topps Chrome Bundesliga 2025/26 Value Box View now;0,00;188,50;0,00;sportscardsdirect;PLN;2025/2026;Topps;Chrome;Value;Bundesliga;188,50
2024-25 Panini Select La Liga Blaster Box;;189,00;;bigcards;PLN;2024/2025;Panini;Select;Blaster;LaLiga;189,00
 2025 Topps Chrome MLS Soccer Blaster Box ;0,00;44,90;0,00;taass;EUR;2025;Topps;Chrome;Blaster;MLS;190,82
 2024/25 Panini Select Premier League Soccer Blaster Box ;0,00;44,90;0,00;taass;EUR;2024/2025;Panini;Select;Blaster;EPL;190,82
 2024 Topps Chrome MLS Soccer Blaster Box ;0,00;44,90;0,00;taass;EUR;2024;Topps;Chrome;Blaster;MLS;190,82
2024-25 Panini Soccer Prizm EPL Blaster Box;0,00;197,00;0,00;qscards;PLN;2024/2025;Panini;Prizm;Blaster;EPL;197,00
2024-25 Panini Select FIFA Hobby Blaster Box;;199,00;;bigcards;PLN;2024/2025;Panini;Select;Blaster;FIFA;199,00
2025/26 Topps UEFA Club Competitions Soccer (Fuﬂball) Blaster Box ;0,00;49,00;0,00;taass;EUR;2025/2026;Topps;Club;Blaster;UEFA;208,25
2021/22 Panini Prizm Premier League EPL Soccer Mega;0,00;49,00;0,00;dacardworld;EUR;2021/2022;Panini;Prizm;Mega;EPL;208,25
2025 Panini Prizm FIFA Club World Cup Soccer Mega;0,00;49,00;0,00;dacardworld;EUR;2025;Panini;Club;Mega;Club World Cup;208,25
2024/25 Panini Donruss Soccer 6-Pack Blaster (Blue Cubic Parallels!);0,00;49,00;0,00;dacardworld;EUR;2024/2025;Panini;Donruss;Blaster;Donruss;208,25
2024/25 Panini Prizm Premier League EPL Soccer Retail;965,00;49,00;2,50;dacardworld;EUR;2024/2025;Panini;Prizm;Mega;EPL;208,25
2023/24 Topps Bundesliga Jade Edition Soccer Hobby;570,77;49,77;0,00;dacardworld;EUR;2023/2024;Topps;Inne;Hobby;Bundesliga;211,52
2024/25 Topps Chrome Bundesliga Soccer Blaster Box ;0,00;49,90;0,00;taass;EUR;2024/2025;Topps;Chrome;Blaster;Bundesliga;212,08
 2023/24 Panini Prizm Copa America Soccer Blaster Box ;0,00;49,90;0,00;taass;EUR;2023/2024;Panini;Prizm;Blaster;Copa America;212,08
 2023/24 Panini Prizm Premier League Soccer EPL Blaster Box ;0,00;49,90;0,00;taass;EUR;2023/2024;Panini;Prizm;Blaster;EPL;212,08
 2022/23 Panini Donruss Soccer (Fuﬂball) Blaster Box ;0,00;49,90;0,00;taass;EUR;2022/2023;Panini;Donruss;Blaster;Donruss;212,08
 2021/22 Panini Mosaic Road to FIFA World Cup Soccer Blaster Box ;0,00;49,90;0,00;taass;EUR;2021/2022;Panini;Mosaic;Blaster;World Cup;212,08
 2021/22 Panini Mosaic La Liga EspaÒa Soccer Blaster Box ;0,00;49,90;0,00;taass;EUR;2021/2022;Panini;Mosaic;Blaster;LaLiga;212,08
2024-25 Topps Manchester City FC Team Set Box;0,00;49,99;0,00;yocardo;EUR;2024/2025;Topps;Team;Team Set;Manchester City;212,48
2024-25 Panini Club Real Madrid;0,00;50,00;0,00;supercollectors;EUR;2024/2025;Panini;Club;Inne;Real Madrid;212,50
Panini Adrenalyn XL LaLiga 2025/26 ñ Trading Cards;0,00;50,00;0,00;sportcardscenter;EUR;2025/2026;Panini;adrenalyn;Inne;LaLiga;212,50
Panini Liga Este 2025/26 - Caja de 50 sobres;0,00;50,00;0,00;sportcardscenter;EUR;2025/2026;Panini;Inne;Inne;inne;212,50
2025 Panini Prizm FIFA Club World Cup Soccer Hobby Mega;0,00;51,00;0,00;dacardworld;EUR;2025;Panini;Club;Hobby;Club World Cup;216,75
Adrenalyn XL FIFA World Cup 2026 Premium Booster box;0,00;219,00;0,00;dutchbreakers;PLN;2026;Panini;adrenalyn;Inne;World Cup;219,00
2024-25 Topps Bundesliga Summer Signings Hobby Box;0,00;53,00;0,00;yocardo;EUR;2024/2025;Topps;summer sig;Hobby;Bundesliga;225,23
2023-24 Topps Bundesliga International Stars Hobby Box;0,00;54,00;0,00;yocardo;EUR;2023/2024;Topps;Inne;Hobby;Bundesliga;229,48
 2021/22 Panini Donruss Soccer Road to Qatar BLASTER Box ;0,00;54,90;0,00;taass;EUR;2021/2022;Panini;Donruss;Blaster;Donruss;233,32
2021-22 Topps Chrome Bundesliga Soccer Hobby Box;0,00;55,00;0,00;yocardo;EUR;2021/2022;Topps;Chrome;Hobby;Bundesliga;233,73
2022/23 Panini Select Premier League EPL Soccer Mega Box (Pink Ice and Orange Ice Parallels!);0,00;55,00;0,00;dacardworld;EUR;2022/2023;Panini;Select;Mega;EPL;233,75
2025/26 Panini La Liga Megacracks Soccer Box;640,00;55,00;1,50;dacardworld;EUR;2025/2026;Panini;Megacracks;Mega;LaLiga;233,75
2025/26 Panini LaLiga Adrenalyn XL Soccer 50-Pack Retail Box;0,00;55,00;1,50;dacardworld;EUR;2025/2026;Panini;adrenalyn;Mega;LaLiga;233,75
2024-25 Panini Select Premier League ñ Hobby Mega Box;0,00;55,00;0,00;supercollectors;EUR;2024/2025;Panini;Select;Hobby;EPL;233,75
2025-26 Topps Bayern Munich Team Set;;249,00;;bigcards;PLN;2025/2026;Topps;Team;Team Set;Bayern Monachium;249,00
2025-26 Topps Manchester City Team Set;;249,00;;bigcards;PLN;2025/2026;Topps;Team;Team Set;Manchester City;249,00
2025 Panini Prizm FIFA Club World Cup Soccer Mega Box;;249,00;;bigcards;PLN;2025;Panini;Club;Mega;Club World Cup;249,00
Topps Manchester City FC Official Team Set 23/24 View now;0,00;252,20;0,00;sportscardsdirect;PLN;2023/2024;Topps;Team;Team Set;Manchester City;252,20
2025/26 Topps Chrome Premier League Soccer EPL Blaster Box ;0,00;59,90;0,00;taass;EUR;2025/2026;Topps;Chrome;Blaster;EPL;254,58
2024/25 Topps Chrome Merlin UEFA Club Competitions Soccer Blaster Box ;0,00;59,90;0,00;taass;EUR;2024/2025;Topps;Club;Blaster;UEFA;254,58
 2023/24 Panini Select Premier League Soccer Blaster Box ;0,00;59,90;0,00;taass;EUR;2023/2024;Panini;Select;Blaster;EPL;254,58
 2023/24 Topps Chrome Bundesliga Soccer (Fussball) Blaster Box ;0,00;59,90;0,00;taass;EUR;2023/2024;Topps;Chrome;Blaster;Bundesliga;254,58
2025-26 Topps Manchester City ñ Team Set;0,00;59,95;0,00;supercollectors;EUR;2025/2026;Topps;Team;Team Set;Manchester City;254,79
2024-25 Topps Paris Saint Germain Team Set Box;0,00;60,00;0,00;yocardo;EUR;2024/2025;Topps;Team;Team Set;PSG;254,98
2025 Panini Prizm FIFA Club World Cup Soccer Mega Box;0,00;60,00;0,00;yocardo;EUR;2025;Panini;Club;Mega;Club World Cup;254,98
2023/24 Panini Prizm Copa America Soccer Mega;0,00;60,00;0,00;dacardworld;EUR;2023/2024;Panini;Prizm;Mega;Copa America;255,00
2024/25 Panini Club FC Barcelona Soccer Hanger;0,00;60,00;0,00;dacardworld;EUR;2024/2025;Panini;Club;Hanger;Barcelona;255,00
2025/26 Topps Premier League EPL Debut Edition Golden Boot Tin;0,00;60,00;0,00;dacardworld;EUR;2025/2026;Topps;Gold;Tin;EPL;255,00
Topps Team Set Real Madrid 2025/26;0,00;60,99;0,00;sportcardscenter;EUR;2025/2026;Topps;Team;Team Set;Real Madrid;259,21
2022-23 Panini Donruss Elite Soccer Premier League Retail Box;0,00;62,02;0,00;underpaidcollectibles;EUR;2022/2023;Panini;Donruss;Mega;EPL;263,59
2025 Panini Prizm FIFA Club World Cup Soccer Mega Box;0,00;62,02;0,00;underpaidcollectibles;EUR;2025;Panini;Club;Mega;Club World Cup;263,59
2024-25 Panini Select Premier League Mega Box;;269,00;;bigcards;PLN;2024/2025;Panini;Select;Mega;EPL;269,00
2025-26 Topps Juventus Team Set;;269,00;;bigcards;PLN;2025/2026;Topps;Team;Team Set;Juventus;269,00
Topps Merlin 2024-25 UEFA Club Competitions Soccer Blaster Box View now;0,00;270,40;0,00;sportscardsdirect;PLN;2024/2025;Topps;Club;Blaster;UEFA;270,40
 2024/25 Panini Select La Liga Soccer Blaster Box ;0,00;64,90;0,00;taass;EUR;2024/2025;Panini;Select;Blaster;LaLiga;275,83
 2024/25 Panini Club Real Madrid FC Official Hanger Box ;0,00;64,90;0,00;taass;EUR;2024/2025;Panini;Club;Hanger;Real Madrid;275,83
 2024/25 Topps UEFA Club Competitions Soccer (Fuﬂball) BLASTER Box ;0,00;64,90;0,00;taass;EUR;2024/2025;Topps;Club;Blaster;UEFA;275,83
 2022/23 Topps UEFA Club Competitions Soccer Flagship Blaster Box ;0,00;64,90;0,00;taass;EUR;2022/2023;Topps;Club;Blaster;UEFA;275,83
2025-26 Topps Manchester United Team Set;;279,00;;bigcards;PLN;2025/2026;Topps;Team;Team Set;Manchester United;279,00
2023/24 Topps UEFA Club Competitions Soccer 7-Pack Blaster;0,00;66,00;0,00;dacardworld;EUR;2023/2024;Topps;Club;Blaster;UEFA;280,50
2023/24 Panini Donruss Soccer 6-Pack Blaster;0,00;66,00;0,00;dacardworld;EUR;2023/2024;Panini;Donruss;Blaster;Donruss;280,50
Topps AtlÈtico de Madrid Official Team Set 23/24 View now;0,00;283,40;0,00;sportscardsdirect;PLN;2023/2024;Topps;Team;Team Set;Atletico Madrid;283,40
Topps Paris Saint-Germain Team Set 24/25;0,00;284,00;0,00;dutchbreakers;PLN;2024/2025;Topps;Team;Team Set;PSG;284,00
2025-26 Topps Real Madrid Team Set Box;0,00;67,18;0,00;underpaidcollectibles;EUR;2025/2026;Topps;Team;Team Set;Real Madrid;285,52
2025-26 Topps Los Blancos Real Madrid;;289,00;;bigcards;PLN;2025/2026;Topps;Inne;Inne;Real Madrid;289,00
2025-26 Topps Team Set Paris Saint-Germain;;289,00;;bigcards;PLN;2025/2026;Topps;Team;Team Set;PSG;289,00
 2024/25 Panini Donruss Soccer Blaster Box ;0,00;69,90;0,00;taass;EUR;2024/2025;Panini;Donruss;Blaster;Donruss;297,08
 2023/24 Panini Score Serie A Soccer Retail Box ;0,00;69,90;0,00;taass;EUR;2023/2024;Panini;Score;Mega;Serie A;297,08
 2023/24 Panini Score Ligue 1 Soccer Retail Box ;0,00;69,90;0,00;taass;EUR;2023/2024;Panini;Score;Mega;Ligue 1;297,08
 2021/22 Panini Chronicles Soccer Asia Box ;0,00;69,90;0,00;taass;EUR;2021/2022;Panini;Inne;Inne;inne;297,08
Topps 2022 Bowman Chrome Road to UEFA U-21 EURO Hobby;0,00;69,99;0,00;austriantradingcards;EUR;2022;Topps;Chrome;Hobby;UEFA;297,46
2016 Panini Donruss Soccer Blaster Box (SEALED);0,00;69,99;0,00;pushdich;EUR;2016;Panini;Donruss;Blaster;Donruss;297,46
2022 Topps Bowman Chrome: Road to UEFA U21 Euros Hobby Box;0,00;70,00;0,00;yocardo;EUR;2022;Topps;Chrome;Hobby;UEFA;297,49
2020-21 Topps On Demand Bundesliga Stars of the Season Box;0,00;70,00;0,00;yocardo;EUR;2020/2021;Topps;Inne;Inne;Bundesliga;297,49
Panini Prizm World Cup Club Mega Box 2025;0,00;70,00;0,00;sportcardscenter;EUR;2025;Panini;Club;Mega;inne;297,50
2023-24 Panini Select EPL Mega Box;;299,00;;bigcards;PLN;2023/2024;Panini;Select;Mega;EPL;299,00
2024-25 Topps Soccer Bundesliga Summer Signings;0,00;301,00;0,00;qscards;PLN;2024/2025;Topps;summer sig;Inne;Bundesliga;301,00
2025-26 Topps Chelsea Team Set;;309,00;;bigcards;PLN;2025/2026;Topps;Team;Team Set;Chelsea;309,00
2023/24 Panini Select La Liga Soccer 6-Pack Blaster;0,00;73,00;0,00;dacardworld;EUR;2023/2024;Panini;Select;Blaster;LaLiga;310,25
Topps Manchester City Official 2024/25 Team Set View now;0,00;314,60;0,00;sportscardsdirect;PLN;2024/2025;Topps;Team;Team Set;Manchester City;314,60
Topps Paris Saint-Germain 2024/25 Team Set View now;0,00;314,60;0,00;sportscardsdirect;PLN;2024/2025;Topps;Team;Team Set;PSG;314,60
2024-25 Panini Select Premier League Hobby Mega Box;;319,00;;bigcards;PLN;2024/2025;Panini;Select;Hobby;EPL;319,00
2022/23 Topps Finest Flashbacks UEFA Club Competitions Soccer Hobby;0,00;77,00;0,00;dacardworld;EUR;2022/2023;Topps;Finest;Hobby;UEFA;327,25
2023/24 Topps Chrome Merlin UEFA Club Competitions Soccer 7-Pack Blaster;0,00;77,00;0,00;dacardworld;EUR;2023/2024;Topps;Club;Blaster;UEFA;327,25
2022/23 Panini Donruss Soccer Jumbo Value 12-Pack Box;0,00;77,00;7,50;dacardworld;EUR;2022/2023;Panini;Donruss;Mega;Donruss;327,25
 2023/24 Panini Select Premier League Soccer Mega Box ;0,00;79,00;0,00;taass;EUR;2023/2024;Panini;Select;Mega;EPL;335,75
 2021/22 Panini Prizm Premier League EPL Soccer Retail Box ;0,00;79,00;0,00;taass;EUR;2021/2022;Panini;Prizm;Mega;EPL;335,75
2024/25 Topps Chrome UEFA Club Competitions Soccer Blaster Box ;0,00;79,90;0,00;taass;EUR;2024/2025;Topps;Club;Blaster;UEFA;339,58
2023-24 Topps Bundesliga JADE Hobby Box;0,00;80,00;0,00;yocardo;EUR;2023/2024;Topps;Inne;Hobby;Bundesliga;339,99
2022-23 Panini Donruss Elite Soccer EPL Retail Hobby Box;0,00;80,00;0,00;yocardo;EUR;2022/2023;Panini;Donruss;Hobby;EPL;339,99
Topps Borussia Dortmund BVB 2024/25 Team Set Box View now;0,00;345,80;0,00;sportscardsdirect;PLN;2024/2025;Topps;Team;Team Set;Borussia Dortmund;345,80
2025-26 Topps Real Madrid Team Set;;349,00;;bigcards;PLN;2025/2026;Topps;Team;Team Set;Real Madrid;349,00
2025-26 Topps Arsenal Team Set;;359,00;;bigcards;PLN;2025/2026;Topps;Team;Team Set;Arsenal;359,00
2022-23 Panini Donruss Elite Premier League Fat Pack Box;0,00;85,00;0,00;yocardo;EUR;2022/2023;Panini;Donruss;Fat Pack;EPL;361,24
2022-23 Panini Score Serie A Soccer Retail Box;0,00;85,00;0,00;yocardo;EUR;2022/2023;Panini;Score;Mega;Serie A;361,24
 2023/24 Panini Score Serie A Soccer Fat Pack Box ;0,00;85,00;0,00;taass;EUR;2023/2024;Panini;Score;Fat Pack;Serie A;361,25
2024/25 Topps Bundesliga International Stars Hobby Box;0,00;85,00;0,00;dacardworld;EUR;2024/2025;Topps;Inne;Hobby;Bundesliga;361,25
2025-26 Topps Barcelona Team set;;369,00;;bigcards;PLN;2025/2026;Topps;Team;Team Set;Barcelona;369,00
2025-26 Topps Soccer Real Madrid Team Set Box;0,00;371,00;0,00;qscards;PLN;2025/2026;Topps;Team;Team Set;Real Madrid;371,00
Donruss Elite Premier League 2022/23 Retail Box View now;0,00;377,00;0,00;sportscardsdirect;PLN;2022/2023;Panini;Donruss;Mega;EPL;377,00
2023-24 Topps Borussia Dortmund Vernissage Hobby Box;0,00;89,00;0,00;yocardo;EUR;2023/2024;Topps;Inne;Hobby;Borussia Dortmund;378,24
 2023/24 Topps UEFA Club Competitions Soccer (Fussball) Flagship Blaster Box ;0,00;89,00;0,00;taass;EUR;2023/2024;Topps;Club;Blaster;UEFA;378,25
 2022/23 Topps Chrome Bundesliga Soccer Hobby Box ;0,00;89,00;0,00;taass;EUR;2022/2023;Topps;Chrome;Hobby;Bundesliga;378,25
2022-2023 Topps UEFA Club Competitions Chrome - Lite Box;0,00;90,00;0,00;yocardo;EUR;2022/2023;Topps;Club;Inne;UEFA;382,50
2024-25 Topps Bundesliga International Stars Hobby Box;0,00;90,00;0,00;yocardo;EUR;2024/2025;Topps;Inne;Hobby;Bundesliga;382,50
2024-2025 Panini Donruss Soccer Fat Pack Box;0,00;90,00;0,00;yocardo;EUR;2024/2025;Panini;Donruss;Fat Pack;Donruss;382,50
2025/26 Topps Manchester City Soccer Team Set;0,00;91,00;0,00;dacardworld;EUR;2025/2026;Topps;Team;Team Set;Manchester City;386,75
2018 Panini Prizm World Cup Soccer Fat Pack;;389,00;;bigcards;PLN;2018;Panini;Prizm;Fat Pack;World Cup;389,00
2018-19 Panini Donruss Soccer Blaster Box;0,00;389,00;0,00;dutchbreakers;PLN;2018/2019;Panini;Donruss;Blaster;Donruss;389,00
2025-26 Topps Soccer Focus Borussia Dortmund Box;0,00;389,00;0,00;qscards;PLN;2025/2026;Topps;Focus;Inne;Borussia Dortmund;389,00
2022-23 Topps Soccer Chrome UEFA Club Competitions UCC Lite Box;0,00;393,00;0,00;dutchbreakers;PLN;2022/2023;Topps;Club;Inne;UEFA;393,00
2025/26 Topps Focus ñ Borussia Dortmund;0,00;93,02;0,00;underpaidcollectibles;EUR;2025/2026;Topps;Focus;Inne;Borussia Dortmund;395,34
2024-25 Panini Prizm English Premier League Retail Soccer Box;0,00;95,00;0,00;yocardo;EUR;2024/2025;Panini;Prizm;Mega;EPL;403,75
Panini Premier League Score 23-24 Fat Packs Box View now;0,00;409,50;0,00;sportscardsdirect;PLN;2023/2024;Panini;Score;Fat Pack;EPL;409,50
Panini Premier League 2023/24 Score Box View now;0,00;409,50;0,00;sportscardsdirect;PLN;2023/2024;Panini;Score;Inne;EPL;409,50
Panini Premier League 2021-22 Donruss Elite Retail Box View now;0,00;409,50;0,00;sportscardsdirect;PLN;2021/2022;Panini;Donruss;Mega;EPL;409,50
2025-26 Topps Soccer Arsenal Team Set Box;0,00;415,00;0,00;qscards;PLN;2025/2026;Topps;Team;Team Set;Arsenal;415,00
2025-26 Topps Soccer Manchester United Team Set;0,00;415,00;0,00;qscards;PLN;2025/2026;Topps;Team;Team Set;Manchester United;415,00
 2023/24 Topps Jade Bundesliga Soccer Hobby Box ;0,00;99,00;0,00;taass;EUR;2023/2024;Topps;Inne;Hobby;Bundesliga;420,75
 2023/24 Topps Borussia Dortmund BVB 09 China Edition Hobby Box ;0,00;99,00;0,00;taass;EUR;2023/2024;Topps;Inne;Hobby;Borussia Dortmund;420,75
 2022/23 Panini Donruss Elite Premier League Soccer Fat-Pack Box ;0,00;99,00;0,00;taass;EUR;2022/2023;Panini;Donruss;Inne;EPL;420,75
 2022/23 Panini Select Premier League Soccer Mega Box ;0,00;99,00;0,00;taass;EUR;2022/2023;Panini;Select;Mega;EPL;420,75
 2022 Panini Prizm FIFA World Cup Soccer Blaster Box ;0,00;99,00;0,00;taass;EUR;2022;Panini;Prizm;Blaster;World Cup;420,75
Topps - Bundesliga International Stars 25/26;0,00;99,99;0,00;austriantradingcards;EUR;2025/2026;Topps;Inne;Inne;Bundesliga;424,96
2025-26 Topps Focus Borussia Dortmund Hobby Box;0,00;100,00;0,00;yocardo;EUR;2025/2026;Topps;Focus;Hobby;Borussia Dortmund;425,00
2021-22 Topps Chrome Sapphire Edition Bundesliga Hobby Box;0,00;100,00;0,00;yocardo;EUR;2021/2022;Topps;Sapphire;Hobby;Bundesliga;425,00
2024-25 Topps Manchester City Blue Moon Hobby Box;0,00;100,00;0,00;yocardo;EUR;2024/2025;Topps;Inne;Hobby;Manchester City;425,00
2022-23 Panini Select EPL Premier League Tmall Box;0,00;103,36;0,00;underpaidcollectibles;EUR;2022/2023;Panini;Select;Inne;EPL;439,28
 (Live Break) 2025/26 Topps Bundesliga International Stars Soccer Hobby Box ;0,00;104,00;0,00;taass;EUR;2025/2026;Topps;Inne;Hobby;Bundesliga;442,00
 2025/26 Topps Premier League Soccer EPL Retail Box ;0,00;105,00;0,00;taass;EUR;2025/2026;Topps;Inne;Mega;EPL;446,25
 2024/25 Panini Prizm Premier League Soccer EPL Retail Box ;0,00;109,00;0,00;taass;EUR;2024/2025;Panini;Prizm;Mega;EPL;463,25
 2022/23 Panini Select FIFA Soccer Blaster Box ;0,00;109,00;0,00;taass;EUR;2022/2023;Panini;Select;Blaster;FIFA;463,25
2024-25 Topps Juventus Team Set;;499,00;;bigcards;PLN;2024/2025;Topps;Team;Team Set;Juventus;499,00
Topps Bundesliga International Stars 2025-26 Hobby Box View now;0,00;503,10;0,00;sportscardsdirect;PLN;2025/2026;Topps;Inne;Hobby;Bundesliga;503,10
Topps Blue Moon Manchester City 2024/25 Hobby Box View now;0,00;503,10;0,00;sportscardsdirect;PLN;2024/2025;Topps;Inne;Hobby;Manchester City;503,10
 2022/23 Topps Finest Flashbacks UEFA Club Competitions Soccer Hobby Box ;0,00;119,00;0,00;taass;EUR;2022/2023;Topps;Finest;Hobby;UEFA;505,75
 2022/23 Topps Chrome UEFA Club Competitions Soccer Lite Box ;0,00;119,00;0,00;taass;EUR;2022/2023;Topps;Club;Inne;UEFA;505,75
 2022/23 Panini Donruss Soccer (Fuﬂball) Fat-Pack Box ;0,00;119,00;0,00;taass;EUR;2022/2023;Panini;Donruss;Inne;Donruss;505,75
 2021/22 Topps UEFA Champions League Soccer Hobby Box ;0,00;119,00;0,00;taass;EUR;2021/2022;Topps;Inne;Hobby;UEFA;505,75
2021/22 Topps UEFA Champions League Finest Flashbacks Soccer Hobby;0,00;120,00;0,00;dacardworld;EUR;2021/2022;Topps;Finest;Hobby;UEFA;510,00
2025/26 Topps Bundesliga International Stars Hobby Box;0,00;120,00;0,00;dacardworld;EUR;2025/2026;Topps;Inne;Hobby;Bundesliga;510,00
2023 Topps Chrome MLS Major League Soccer Hobby;0,00;120,00;7,00;dacardworld;EUR;2023;Topps;Chrome;Hobby;MLS;510,00
